,Unnamed: 0,0,DT,LR,NB
0,0,Normal,0.9947694507327536,0.8727679016779394,0.3397025092781273
1,1,Reconnaissance,0.9888248578771124,0.694408598348919,0.23635554006698806
2,2,Weaponization,0.9993682411089226,0.9054485330872456,0.882906850561837
3,3,Exploitation,0.9504950495049505,0.0793235353331991,0.031881313131313135
4,4,Lateral Movement,0.9811764705882352,0.908667152221413,0.32340210419891946
5,5,Comand and Control,0.9388111888111887,0.1690696615571406,0.11470195957730583
6,6,Exfiltration,0.9985319028797288,0.8525490196078431,0.913600661430343
7,7,Tampering,0.9926506614404704,0.9390414146114472,0.6450992953235106
8,8,Crypto-ransomware,0.9832402234636872,0.8108108108108107,0.7416666666666667
9,9,RDOS,0.9998938241019288,0.986787836420832,0.7142225087539661
