,class,DT,KNN,SVM,LR,NB
0,Normal,0.9707876673592218,0.9676510956505276,0.9507456943294581,0.9609383181484972,0.42948962361784404
1,RDOS,0.9995045650789157,0.9994869889791079,0.9986901263851029,0.9989913825137579,0.9873832191476111
2,Scanning vulnerability,0.9861451460885957,0.9929766674522743,0.8033713747251597,0.8632221791392013,0.580189204229271
3,Generic scanning,0.9896210954958533,0.9926153541160728,0.9017044354057718,0.9039933687649324,0.7615381396711159
4,Brute Force,0.99830866807611,0.9963617189559716,0.9879772199957815,0.9798404031919362,0.8950457357373235
5,MQTT cloud broker subscription,0.9025247682965805,0.8938779980286935,0.8217536582555593,0.8555976203353164,0.5307816462992851
6,Discovering Resources,0.8709133094283906,0.886091750754187,0.652740020031478,0.6852099491842739,0.2286651470506477
7,Exfiltration,0.9637599093997735,0.9449634214969049,0.9509814918676388,0.9194002930898433,0.7403557865280831
8,Insider Malcious,0.9574678536102869,0.8895592864637986,0.9617058311575283,0.9303454182129602,0.7290993071593533
9,Modbus Register Reading,0.8260689082606891,0.8788282290279626,0.8897126969416127,0.8980716253443525,0.017463235294117647
10,False Data Injection,0.5674603174603174,0.23728813559322035,0.81601857225769,0.7539823008849558,0.046296296296296294
11,Command and Control,0.6997193638914874,0.720682302771855,0.715939447907391,0.5306122448979592,0.16071428571428575
12,Dictionary,0.8604651162790697,0.8503118503118502,0.6666666666666667,0.2292609351432881,0.06619385342789598
13,TCP Relay,0.47425149700598807,0.45811965811965816,0.14367622259696458,0.4670846394984326,0.04602565798174845
14,Fuzzing,0.363302752293578,0.5210526315789473,0.0,0.028776978417266185,0.03971455165994415
15,Reverse shell,0.6185567010309279,0.6535947712418301,0.3806228373702422,0.7724550898203594,0.05632543585158695
16,Crypto Ransomware,0.9204545454545454,0.9560439560439561,0.8648648648648649,0.7926829268292682,0.19444444444444445
