,class,DT,KNN,SVM,LR,NB,XGB,RF
0,Normal,0.9875582833761538,0.9810335104330533,0.9733443318406787,0.9740984376835429,0.7666650247345347,0.9909212803534617,0.9874476987447699
1,Reconnaissance,0.9722851120306035,0.9729634899904486,0.9180267965895249,0.9218128809965543,0.59842930499492,0.9769799618320612,0.9651996526024519
2,Weaponization,0.9949502450616368,0.9761852421777679,0.9732228009683809,0.9542819402656492,0.8108029303495281,0.9982898356755149,0.9980649002679368
3,Exploitation,0.8734491315136477,0.7066246056782335,0.7979539641943735,0.8205128205128206,0.06951026856240126,0.9405684754521965,0.8907103825136612
4,Lateral Movement,0.9637922820390662,0.9345383488031265,0.9120460377945409,0.9225832330525471,0.47921225382932164,0.9823185854868389,0.9819315637991686
5,Comand and Control,0.7171171171171171,0.7221052631578947,0.69248291571754,0.6624472573839663,0.2056262558606832,0.8102466793168881,0.7828685258964144
6,Exfiltration,0.9874391761910151,0.9600269481248597,0.9850679241046368,0.9547851452933916,0.8175372016378707,0.9949135300101729,0.9943592057761733
7,Tampering,0.9643728648121035,0.8401114206128134,0.9707031250000001,0.9600385170919595,0.582046332046332,0.9833496571988246,0.9823182711198427
8,Crypto-ransomware,0.9319371727748691,0.9468085106382979,0.9072164948453608,0.9837837837837838,0.24170616113744078,0.994475138121547,0.994475138121547
9,RDOS,0.9995753715498937,0.9995046702519105,0.9987078959944776,0.9987967583253706,0.9942514460097229,0.9998407276974534,0.9997876331716986
