,class,XGB_DT_KNN,DT_KNN,XGB_DT
0,Normal,0.9923580075176843,0.9865782075260849,0.9899052995704006
1,Reconnaissance,0.9833159335788997,0.9780323982615566,0.9744244503850298
2,Weaponization,0.9976580796252927,0.9917545684147973,0.9960650382359493
3,Exploitation,0.9056603773584906,0.718266253869969,0.8842105263157894
4,Lateral Movement,0.9806120813972119,0.9403885903265812,0.9761981344483757
5,Comand and Control,0.7801980198019802,0.7006651884700664,0.750775594622544
6,Exfiltration,0.9934344577767715,0.9766155972814192,0.9895287958115183
7,Tampering,0.9802371541501977,0.8437146092865232,0.9761431411530814
8,Crypto-ransomware,0.9836065573770493,0.9662921348314606,0.9832402234636871
9,RDOS,0.9998053407421825,0.9997699318644369,0.9998407051452238
